3	green	33,52436	1
1	blue	4,731007	1
1	yellow	17,46807	1
2	green	6,455749	1
3	red	19,73986	1
1	yellow	5,635278	1
1	orange	1,344136	2
1	blue	4,094004	1
2	yellow	9,03916	1
1	purple	6,284507	1
1	red	5,083923	1
3	purple	18,46187	1
1	green	8,398842	1
1	yellow	1,981972	1
1	yellow	5,505167	1
1	yellow	0,8364519	1
1	red	6,090585	2
1	green	3,162625	1
1	yellow	3,646714	1
1	yellow	3,690888	1
2	purple	9,497663	2
1	purple	2,269234	2
1	green	0,8895562	1
1	purple	3,157515	2
1	red	3,52401	3
1	red	1,219684	1
1	purple	2,899244	2
1	red	3,021508	1
2	purple	9,410839	2
1	yellow	2,251057	1
1	green	3,750337	2
1	purple	3,479271	3
1	green	4,344402	1
1	green	15,29738	2
1	blue	6,591669	3
2	blue	3,125944	4
1	yellow	3,402631	1
1	purple	1,915841	2
